Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Tenuta San Leonardo Vette di San Leonardo Sauvignon Blanc 2020,Italy,Sauvignon Blanc,White Wine,0.0,0, 2020,26.99
Ca' del Bosco Franciacorta Cuvee Prestige Rose,Italy,Sparkling Rosé,Sparkling & Champagne,4.1,7,Not available,61.99
Villa Sandi Il Fresco Prosecco,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.3,143,Not available,13.99
Garofoli Verdicchio dei Castelli di Jesi Podium 2019,Italy,Verdicchio,White Wine,4.0,20, 2019,32.99
Badia a Coltibuono Chianti Classico 2019,Italy,Sangiovese,Red Wine,3.8,17, 2019,21.99
Scaia Garganega Chardonnay 2021,Italy,Other White Blends,White Wine,0.0,0, 2021,16.99
Copertino Riserva 2012,Italy,Negroamaro,Red Wine,3.8,12, 2012,16.99
Valdo Marca Oro Prosecco,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,3.8,106,Not available,13.98
Fattoria Moretto Lambrusco Grasparossa di Castelvetro Secco,Italy,Red Sparkling Wine,Sparkling & Champagne,3.8,41,Not available,19.99
San Silvestro Brumo Nebbiolo d'Alba 2020,Italy,Nebbiolo,Red Wine,0.0,0, 2020,21.99
Tenuta Sant'Antonio Amarone Antonio Castagnedi 2017,Italy,Other Red Blends,Red Wine,4.3,9, 2017,49.99
Li Veli Askos Verdeca 2021,Italy,Other White Wine,White Wine,3.1,7, 2021,23.99
Abbazia di Novacella Kerner 2021,Italy,Other White Wine,White Wine,3.9,18, 2021,21.99
Planeta Cerasuolo di Vittoria 2020,Italy,Other Red Blends,Red Wine,3.6,14, 2020,27.99
Massolino Vigna Margheria Barolo 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,96.99
Kofererhof Pinot Grigio Valle Isarco 2021,Italy,Pinot Gris/Grigio,White Wine,0.0,0, 2021,27.99
Terredora di Paolo Greco di Tufo Loggia della Serra 2019,Italy,Greco,White Wine,3.8,43, 2019,19.99
La Marca Prosecco Rose 2020,Italy,Sparkling Rosé,Sparkling & Champagne,4.2,19, 2020,17.99
Produttori del Barbaresco Langhe Nebbiolo 2020,Italy,Nebbiolo,Red Wine,4.2,13, 2020,26.99
